iter	Passed	Remaining
0	3	972
1	6	932
2	9	917
3	12	900
4	15	907
5	18	887
6	21	889
7	24	877
8	27	880
9	30	879
10	33	874
11	36	869
12	39	863
13	42	864
14	45	859
15	48	859
16	51	856
17	54	852
18	57	849
19	60	848
20	63	843
21	66	837
22	69	838
23	72	838
24	75	835
25	78	832
26	82	831
27	85	831
28	88	831
29	92	830
30	95	829
31	98	826
32	102	828
33	105	825
34	109	825
35	112	823
36	115	821
37	118	818
38	121	815
39	125	812
40	128	809
41	131	806
42	134	802
43	137	799
44	140	795
45	144	795
46	147	791
47	150	789
48	153	785
49	156	783
50	159	779
51	162	776
52	165	772
53	168	769
54	172	766
55	175	762
56	178	759
57	181	755
58	184	753
59	187	748
60	190	745
61	193	741
62	196	738
63	199	734
64	202	731
65	205	727
66	208	724
67	211	721
68	215	721
69	218	718
70	221	714
71	224	712
72	227	708
73	231	706
74	234	703
75	237	699
76	240	695
77	243	692
78	246	689
79	249	685
80	252	682
81	255	678
82	258	675
83	261	672
84	264	669
85	268	667
86	272	666
87	274	662
88	278	659
89	280	655
90	283	652
91	286	648
92	289	644
93	292	641
94	295	638
95	298	635
96	301	631
97	305	630
98	308	626
99	312	624
100	315	621
101	318	618
102	321	615
103	324	612
104	327	608
105	331	606
106	334	603
107	337	599
108	340	595
109	342	592
110	346	589
111	348	585
112	351	582
113	354	579
114	358	576
115	361	572
116	364	570
117	368	567
118	371	565
119	374	562
120	377	559
121	380	555
122	384	552
123	387	549
124	390	546
125	393	544
126	396	540
127	400	537
128	402	534
129	406	531
130	409	528
131	413	525
132	416	522
133	419	520
134	423	517
135	426	514
136	429	510
137	432	507
138	435	504
139	438	501
140	441	497
141	444	494
142	447	491
143	450	488
144	453	485
145	456	481
146	459	478
147	462	475
148	466	472
149	469	469
150	472	466
151	475	463
152	478	459
153	481	456
154	484	453
155	488	450
156	491	447
157	494	444
158	497	440
159	500	437
160	503	434
161	506	431
162	509	427
163	512	424
164	515	421
165	518	418
166	521	415
167	524	411
168	527	408
169	530	405
170	533	402
171	536	399
172	539	396
173	542	392
174	545	389
175	548	386
176	551	383
177	554	380
178	557	376
179	561	374
180	565	371
181	570	370
182	575	367
183	580	365
184	583	362
185	589	361
186	592	358
187	595	354
188	598	351
189	601	348
190	604	345
191	607	341
192	610	338
193	613	335
194	616	332
195	619	328
196	623	325
197	625	322
198	629	319
199	632	316
200	635	312
201	638	309
202	641	306
203	644	303
204	647	299
205	650	296
206	653	293
207	656	290
208	659	287
209	662	283
210	665	280
211	668	277
212	671	274
213	674	271
214	677	268
215	680	264
216	684	261
217	686	258
218	689	255
219	692	251
220	695	248
221	698	245
222	702	242
223	704	239
224	708	236
225	712	233
226	715	230
227	718	226
228	721	223
229	724	220
230	727	217
231	731	214
232	734	211
233	737	207
234	740	204
235	743	201
236	746	198
237	749	195
238	752	192
239	755	188
240	758	185
241	761	182
242	764	179
243	767	176
244	770	172
245	773	169
246	777	166
247	780	163
248	783	160
249	786	157
250	789	154
251	792	151
252	795	147
253	798	144
254	801	141
255	804	138
256	807	135
257	811	132
258	814	128
259	817	125
260	820	122
261	823	119
262	826	116
263	829	113
264	832	109
265	835	106
266	838	103
267	841	100
268	846	97
269	849	94
270	852	91
271	855	88
272	858	84
273	861	81
274	864	78
275	867	75
276	870	72
277	873	69
278	876	65
279	880	62
280	882	59
281	885	56
282	888	53
283	891	50
284	894	47
285	897	43
286	900	40
287	903	37
288	906	34
289	909	31
290	913	28
291	916	25
292	923	22
293	927	18
294	930	15
295	933	12
296	936	9
297	940	6
298	943	3
299	947	0
